iter	Accuracy	Logloss
599	0.7833902076	0.4689665012
600	0.7833902076	0.4689534154
601	0.7833652079	0.4689465307
602	0.7833652079	0.4689464819
603	0.7833902076	0.4689374488
604	0.7833902076	0.4689372535
605	0.783440207	0.4689232888
606	0.7834527068	0.4689223123
607	0.783440207	0.4689216775
608	0.7834652067	0.4688373524
609	0.7834652067	0.4688369618
610	0.783440207	0.4688353505
611	0.783440207	0.4688343739
612	0.783440207	0.4688325185
613	0.783440207	0.4688294424
614	0.7834277072	0.4688286611
615	0.7834277072	0.4688266104
616	0.7834652067	0.4688232901
617	0.7834652067	0.4688141594
618	0.7835027062	0.468804931
619	0.7835527056	0.4687741208
620	0.7835902051	0.468772656
621	0.7835777053	0.4687721677
622	0.7835777053	0.4687717771
623	0.7835527056	0.4687704099
624	0.7835402057	0.4687675779
625	0.7835152061	0.4687640135
626	0.7835152061	0.4687635252
627	0.7835152061	0.4687598632
628	0.7835027062	0.4687589843
629	0.7835527056	0.4687473633
630	0.7835152061	0.4687368166
631	0.7835277059	0.4687325686
632	0.7835277059	0.4687312991
633	0.7835527056	0.4687296389
634	0.7835527056	0.4687288577
635	0.7835652054	0.4687276858
636	0.7835652054	0.4687195805
637	0.7835652054	0.468719434
638	0.7835652054	0.4687171879
639	0.7836402045	0.4686722178
640	0.7836277047	0.468649513
641	0.783602705	0.4686479017
642	0.7836277047	0.4686317886
643	0.7836277047	0.4686313003
644	0.7836152048	0.4686226578
645	0.7836152048	0.4686216813
646	0.7836652042	0.4685948262
647	0.783677704	0.4685891622
648	0.7836902039	0.468586379
649	0.7837152036	0.4685745139
650	0.7837152036	0.4685735862
651	0.7837277034	0.4685618188
652	0.7837277034	0.4685589379
653	0.7837152036	0.4685438991
654	0.7836902039	0.4685367702
655	0.7836902039	0.4685366726
656	0.7836902039	0.4684835483
657	0.7836902039	0.4684764683
658	0.783677704	0.4684725621
659	0.783677704	0.4684678746
660	0.7836652042	0.4684664586
661	0.7836652042	0.4684646032
662	0.7836902039	0.468462113
663	0.7837027037	0.468460697
664	0.7837402032	0.4684574255
665	0.7837402032	0.468453324
666	0.7837402032	0.4684487342
667	0.7837402032	0.4684487831
668	0.7837527031	0.4684447792
669	0.7837527031	0.4684444374
670	0.7837402032	0.468442582
671	0.7837652029	0.4684291544
672	0.7838277022	0.4683952681
673	0.783840202	0.4683929732
674	0.783840202	0.4683929244
675	0.7838277022	0.4683918014
676	0.783840202	0.4683891647
677	0.7838527018	0.4683884323
678	0.7838652017	0.4683882858
679	0.783840202	0.4683750047
680	0.783840202	0.4683692919
681	0.783840202	0.4683687548
682	0.7838277022	0.4683672411
683	0.7838527018	0.4683634814
684	0.7838652017	0.4683632373
685	0.7837902026	0.4683378469
686	0.7838152023	0.468335015
687	0.7838152023	0.4683346243
688	0.7838527018	0.468316314
689	0.783840202	0.468312652
690	0.7838902014	0.4683101129
691	0.7838527018	0.4683044978
692	0.7838652017	0.4683042536
693	0.7838527018	0.4683026911
694	0.7837277034	0.4682736876
695	0.7837277034	0.4682732481
696	0.7837277034	0.4682708068
697	0.7837277034	0.4682707579
698	0.7837527031	0.4682685119
699	0.7837152036	0.4682620666
700	0.7837152036	0.4682593323
701	0.7837027037	0.4682563538
702	0.7837027037	0.4682559632
703	0.7837277034	0.4682541078
704	0.7837277034	0.4682502504
705	0.7837652029	0.4682366763
706	0.7837652029	0.4682362369
707	0.7837527031	0.4682260319
708	0.7837527031	0.4682249577
709	0.7837527031	0.4682246648
710	0.7837277034	0.4682100165
711	0.783840202	0.4682054756
712	0.7838777015	0.4682044014
713	0.7838277022	0.4681971261
714	0.7838777015	0.468191755
715	0.7839027012	0.4681899972
716	0.7839027012	0.4681878488
717	0.7839027012	0.4681870676
718	0.7838152023	0.4681757884
719	0.7838527018	0.4681667065
720	0.7837652029	0.4681612378
721	0.7838277022	0.4681544996
722	0.7838277022	0.4681539137
723	0.783840202	0.4681536696
724	0.783840202	0.4681485427
725	0.7838777015	0.4681119709
726	0.7839027012	0.4681098713
727	0.7839027012	0.4681098713
728	0.7838777015	0.468099471
729	0.7839027012	0.4680956136
730	0.7839027012	0.4680944906
731	0.7839027012	0.4680936605
732	0.7839152011	0.4680904379
733	0.7839152011	0.4680896079
734	0.7839152011	0.4680842857
735	0.7839152011	0.4680786705
736	0.7839152011	0.4680772057
737	0.7839152011	0.4680767174
738	0.7838902014	0.4680599696
739	0.7839027012	0.4680593836
740	0.7839527006	0.4680479092
741	0.7839402007	0.4680477139
742	0.7839027012	0.4680440518
743	0.7839027012	0.4680437588
744	0.783840202	0.4680318937
745	0.783840202	0.4680318449
